Rank,Team,Played,W,D,L,GF,GA,GD,Pts,Form,PPG,ClShts,BTTS,xGF
1,,Arsenal FC,24,16,5,3,46,17,+29,53,WDDLW,2.21,50%,46%
2,,Manchester City FC,23,14,4,5,47,21,+26,46,DDDLW,2.00,43%,43%
3,,Aston Villa FC,23,14,4,5,35,25,+10,46,LWDLW,2.00,30%,52%
4,,Chelsea FC,24,11,7,6,42,27,+15,40,DLWWW,1.67,38%,63%
5,,Manchester United FC,23,10,8,5,41,34,+7,38,DDDWW,1.65,13%,74%
6,,Liverpool FC,23,10,6,7,35,32,+3,36,DDDDL,1.57,30%,61%
7,,Fulham FC,23,10,4,9,32,32,0,34,DDWLW,1.48,22%,61%
8,,Everton FC,24,9,7,8,26,27,-1,34,LDWDD,1.42,38%,42%
9,,Newcastle United FC,23,9,6,8,32,29,+3,33,WWWDL,1.43,30%,57%
10,,Brentford FC,23,10,3,10,35,32,+3,33,DWWLL,1.43,22%,52%
11,,Sunderland AFC,23,8,9,6,24,26,-2,33,DDLWL,1.43,30%,48%
12,,AFC Bournemouth,24,8,9,7,40,43,-3,33,LWDWW,1.38,25%,67%
13,,Brighton & Hove Albion FC,24,7,10,7,34,32,+2,31,WDDLD,1.29,21%,71%
14,,Tottenham Hotspur FC,23,7,7,9,33,31,+2,28,DDLLD,1.22,30%,57%
15,,Crystal Palace FC,23,7,7,9,24,28,-4,28,DLDLL,1.22,35%,48%
16,,Leeds United FC,24,6,8,10,31,42,-11,26,DLWDL,1.08,17%,63%
17,,Nottingham Forest FC,23,7,4,12,23,34,-11,25,LLWDW,1.09,22%,35%
18,,West Ham United FC,24,5,5,14,29,48,-19,20,LLWWL,0.83,4%,63%
19,,Burnley FC,23,3,6,14,25,44,-19,15,LLDDD,0.65,13%,61%
20,,Wolverhampton Wanderers FC,24,1,5,18,15,45,-30,8,WDDLL,0.33,8%,42%
